id,followers_count,friends_count,created_at,language
27364230,2931,2443,Sun Mar 29 02:40:33 +0000 2009,en
97702400,3731,1266,Fri Dec 18 16:37:16 +0000 2009,en
27753686,1490,1476,Mon Mar 30 22:59:47 +0000 2009,en
23474111,14135,10524,Mon Mar 09 18:18:13 +0000 2009,en
106973819,4508,1252,Thu Jan 21 06:45:10 +0000 2010,en
111492406,2445,121,Fri Feb 05 03:28:01 +0000 2010,en
3900500781,0,0,Thu Oct 08 15:18:27 +0000 2015,en
16461363,3128,3835,Fri Sep 26 01:14:26 +0000 2008,en
21564446,4476,3974,Sun Feb 22 13:24:58 +0000 2009,en
39520162,17588,81,Tue May 12 15:18:14 +0000 2009,en
330476431,3554,1786,Wed Jul 06 17:41:13 +0000 2011,en
18085447,2197,2426,Fri Dec 12 20:46:06 +0000 2008,en
18804994,5745,367,Fri Jan 09 16:05:02 +0000 2009,en
54583995,1997,1643,Tue Jul 07 15:46:28 +0000 2009,en
49435857,744,1862,Sun Jun 21 21:34:09 +0000 2009,en
52620818,4596,312,Wed Jul 01 03:33:30 +0000 2009,tr
112003104,1604,4267,Sat Feb 06 22:53:32 +0000 2010,en
74568060,21877,8625,Tue Sep 15 21:57:18 +0000 2009,en
415063085,825,2050,Thu Nov 17 21:18:30 +0000 2011,en
1552494835,7958,7390,Fri Jun 28 07:28:03 +0000 2013,en
361715860,2846,1822,Thu Aug 25 06:33:05 +0000 2011,en
323599188,50252,250,Sat Jun 25 03:08:29 +0000 2011,en
37820650,7892,1195,Tue May 05 01:27:36 +0000 2009,en
46427814,4311,1226,Thu Jun 11 16:41:20 +0000 2009,en
25505732,7467,2128,Fri Mar 20 13:51:59 +0000 2009,en
46598192,332925,3409,Fri Jun 12 06:34:12 +0000 2009,en
97627232,3509,861,Fri Dec 18 09:09:19 +0000 2009,en
340248585,1208,1302,Fri Jul 22 11:35:42 +0000 2011,en
244772915,320,706,Sun Jan 30 03:12:52 +0000 2011,en
1536736850,1951,1709,Fri Jun 21 15:20:21 +0000 2013,en
143524116,6390,4,Thu May 13 18:12:26 +0000 2010,en
117510407,2989,2996,Thu Feb 25 19:54:43 +0000 2010,en
19877089,26639,17456,Sun Feb 01 21:12:06 +0000 2009,en
18123284,1986,842,Sun Dec 14 21:32:11 +0000 2008,en
48465637,120,254,Thu Jun 18 19:48:55 +0000 2009,en
21921884,1668,759,Wed Feb 25 21:29:54 +0000 2009,en
169911659,6841,157,Fri Jul 23 13:37:07 +0000 2010,en
236479311,3386,189,Mon Jan 10 17:48:59 +0000 2011,en
74923166,459,698,Thu Sep 17 03:33:27 +0000 2009,en
76147989,4395,172,Mon Sep 21 21:21:26 +0000 2009,en
620698212,3462,3244,Thu Jun 28 04:00:04 +0000 2012,en
92210740,374,170,Tue Nov 24 05:56:22 +0000 2009,en
2164206792,1854,878,Wed Oct 30 06:15:20 +0000 2013,en
2724563700,17543,17103,Mon Aug 11 20:19:38 +0000 2014,en
316739994,11377,8392,Mon Jun 13 22:11:05 +0000 2011,en
494397058,806,82,Thu Feb 16 21:20:27 +0000 2012,en
1449825115,477,232,Wed May 22 20:14:46 +0000 2013,en
2382573770,2045,2066,Mon Mar 10 19:24:02 +0000 2014,en
1279467138,884,1008,Tue Mar 19 04:05:37 +0000 2013,en
18196566,1285,1458,Wed Dec 17 19:10:05 +0000 2008,en
19662335,4428,364,Wed Jan 28 17:08:00 +0000 2009,en
822215679726100480,22870504,40,Thu Jan 19 22:54:28 +0000 2017,en
3228047383,2244,887,Wed May 27 08:03:51 +0000 2015,ko
112643966,1075,529,Tue Feb 09 06:39:14 +0000 2010,en
268252645,2102,1860,Fri Mar 18 12:10:48 +0000 2011,en
814039515975258112,13,94,Wed Dec 28 09:25:19 +0000 2016,en
960932186,3112,3009,Tue Nov 20 18:08:15 +0000 2012,en
17572116,5841,5246,Sun Nov 23 12:33:15 +0000 2008,en
535079024,1006,2474,Sat Mar 24 06:46:22 +0000 2012,en
27159231,653,1849,Sat Mar 28 02:28:56 +0000 2009,en
74976053,19277,11904,Thu Sep 17 09:49:00 +0000 2009,en
38466830,16389,156,Thu May 07 16:48:58 +0000 2009,en
46730782,15202,318,Fri Jun 12 19:42:18 +0000 2009,en
90935128,14314,100,Wed Nov 18 19:05:19 +0000 2009,en
87565499,5827,5322,Wed Nov 04 23:39:58 +0000 2009,en
1061449832,987,191,Fri Jan 04 21:13:39 +0000 2013,en
282695161,285222,9969,Fri Apr 15 18:32:32 +0000 2011,en
55348094,2008,2320,Thu Jul 09 20:15:47 +0000 2009,en
372907147,340,560,Tue Sep 13 16:54:10 +0000 2011,en
529123058,1851,2220,Mon Mar 19 05:17:31 +0000 2012,en
2183727324,19453,14647,Sat Nov 09 06:27:08 +0000 2013,en
103979872,11476,9715,Mon Jan 11 21:51:43 +0000 2010,en
49035017,1654,3084,Sat Jun 20 15:41:13 +0000 2009,en
770597294,1027,999,Tue Aug 21 01:40:27 +0000 2012,en
2080931,13345,14226,Sat Mar 24 04:37:25 +0000 2007,en
280673445,2345,2095,Mon Apr 11 20:26:41 +0000 2011,en
23678096,14636,6075,Tue Mar 10 23:12:23 +0000 2009,en
893231,1714,963,Sun Mar 11 00:49:06 +0000 2007,en
3488471,22376,1915,Thu Apr 05 03:57:52 +0000 2007,en
18704439,5182,3169,Wed Jan 07 01:07:25 +0000 2009,en
32272710,5027,591,Fri Apr 17 02:57:38 +0000 2009,en
1135553516,4841,4106,Thu Jan 31 00:07:25 +0000 2013,en
164412502,142587,1031,Thu Jul 08 20:35:01 +0000 2010,en
180209895,11410,598,Thu Aug 19 02:24:37 +0000 2010,en
5484532,5788,1133,Wed Apr 25 02:16:54 +0000 2007,en
38326959,2218,194,Thu May 07 01:02:17 +0000 2009,en
600470774,4985,515,Tue Jun 05 22:29:03 +0000 2012,en
16218417,2542,3927,Wed Sep 10 08:29:09 +0000 2008,en
18435759,1420,1669,Sun Dec 28 22:34:24 +0000 2008,en
355589054,18544,12464,Mon Aug 15 15:57:27 +0000 2011,en
62981355,5306,5027,Wed Aug 05 00:44:33 +0000 2009,en
214982390,1627,2001,Fri Nov 12 18:21:56 +0000 2010,en
112062206,12648,14834,Sun Feb 07 04:12:40 +0000 2010,en
8552842,30350,13456,Fri Aug 31 07:16:03 +0000 2007,en
5446992,1300,1330,Mon Apr 23 23:13:44 +0000 2007,en
261482816,947,958,Sun Mar 06 01:55:21 +0000 2011,en
1052046588,2032,2017,Tue Jan 01 07:27:19 +0000 2013,en
1325842705,1583,1210,Thu Apr 04 01:13:54 +0000 2013,en
1552125739,11169,2920,Fri Jun 28 03:28:45 +0000 2013,en
37323294,18215,17127,Sun May 03 00:50:02 +0000 2009,en
94789964,515,1165,Sat Dec 05 13:17:44 +0000 2009,en
111720422,7025,899,Fri Feb 05 23:07:12 +0000 2010,en
137823987,3094,251,Tue Apr 27 21:48:06 +0000 2010,en
18030672,8892,5405,Wed Dec 10 21:08:15 +0000 2008,en
19791281,8088,1317,Fri Jan 30 21:59:35 +0000 2009,en
104914594,51569,1579,Thu Jan 14 19:59:21 +0000 2010,en
15949696,34663,2780,Fri Aug 22 20:21:33 +0000 2008,en
237840144,4360,4987,Thu Jan 13 19:18:01 +0000 2011,en
57790392,9044,1972,Fri Jul 17 23:29:29 +0000 2009,en
255951248,18178,17435,Tue Feb 22 10:44:40 +0000 2011,en
39514330,1872,1786,Tue May 12 14:48:35 +0000 2009,en
2712101100,11135,7566,Wed Aug 06 14:19:20 +0000 2014,en
15521917,2713,2541,Mon Jul 21 22:39:24 +0000 2008,en
185076970,2041,2562,Tue Aug 31 04:47:13 +0000 2010,en
17968719,1297,740,Mon Dec 08 18:31:18 +0000 2008,en
295051094,321,500,Sun May 08 08:26:30 +0000 2011,en
18918084,1022,1005,Mon Jan 12 22:20:07 +0000 2009,en
22889792,6760,6012,Thu Mar 05 06:22:36 +0000 2009,en
18258453,10001,3270,Sat Dec 20 01:48:50 +0000 2008,en
2266705999,3390,2655,Sun Dec 29 01:55:00 +0000 2013,en
795629190330613760,55,0,Mon Nov 07 14:09:15 +0000 2016,en
1157028487,303,1268,Thu Feb 07 12:38:02 +0000 2013,en
27979434,745,1073,Tue Mar 31 22:22:14 +0000 2009,en
